brand,model,year,body,price,car_mileage,fuel,power,transmission
11,816,2006.0,7,5350.0,220.0,0,2.0,2
29,564,2017.0,7,17000.0,211.0,0,2.0,2
25,852,2015.0,7,15200.0,157.0,0,2.0,2
11,816,2000.0,7,4999.0,300.0,0,2.0,2
21,762,2010.0,7,20700.0,682.0,0,3.0,1
35,582,2017.0,7,49750.707824963494,39.0,0,2.0,3
37,784,2002.0,7,12900.0,270.0,0,2.0,2
2,144,2000.0,7,6999.0,331.0,0,3.0,1
37,261,2004.0,7,7300.0,230.0,0,2.0,2
25,852,2007.0,7,8500.0,180.0,0,2.0,2
28,625,2013.0,7,43900.0,87.0,2,4.0,4
21,762,2005.0,7,9300.0,300.0,0,2.0,2
21,762,2015.0,7,16500.0,170.0,0,2.0,2
37,786,2016.0,7,18300.0,108.0,0,2.0,2
25,852,2008.0,7,8800.0,253.0,0,2.0,3
21,762,2014.0,7,15800.0,8000.0,0,2.0,1
29,564,2016.0,7,14300.0,168.0,0,2.0,2
21,90,1994.0,7,3600.0,20.0,0,3.0,2
21,762,2017.0,7,29400.0,170.0,0,2.0,2
21,851,2009.0,7,12500.0,315.0,0,3.0,4
29,815,2007.0,7,9099.0,307.0,0,2.0,2
21,851,2012.0,7,10700.0,251.0,0,2.0,2
21,762,2000.0,7,5555.0,400.0,0,2.0,2
21,762,2005.0,7,16700.0,43.0,0,2.0,3
26,413,2008.0,7,6500.0,150.0,2,1.0,1
10,348,2006.0,7,5000.0,385.0,0,2.0,3
25,484,2012.0,7,10300.0,189.0,0,2.0,2
21,762,2005.0,7,10000.0,793.0,0,2.0,2
37,785,2009.0,7,10500.0,254.0,0,2.0,2
21,762,2004.0,7,7999.0,230.0,0,2.0,2
29,564,2015.0,7,14550.0,174.0,0,2.0,2
23,524,1991.30141207372,7,1880.0,300.0,2,2.0,2
1,187,2013.0,7,24500.0,90.0,2,3.0,1
29,564,2009.0,7,9500.0,230.0,0,2.0,2
37,785,2006.0,7,8200.0,243.0,0,2.0,2
29,564,2007.0,7,8700.0,322.0,0,2.0,2
21,762,2005.0,7,8300.0,365.0,0,2.0,2
7,344,2013.0,7,7950.0,140.0,1,2.0,2
11,816,2015.0,7,14900.0,131.0,0,2.0,2
11,816,2016.0,7,18399.0,240.0,0,2.0,2
25,852,2006.0,7,9400.0,198.0,0,2.0,3
1,167,1991.30141207372,7,3500.0,300.0,2,2.0,2
21,762,2016.0,7,15400.0,226.0,0,2.0,2
21,762,2010.0,7,13700.0,498.0,0,2.0,1
37,323,2009.0,7,14000.0,480.0,0,2.0,2
37,272,1998.0,7,16575.0,248.0,2,3.0,2
21,762,2008.0,7,11500.0,360.0,0,2.0,2
11,816,2006.0,7,5800.0,217.0,0,2.0,2
25,589,2005.0,7,6199.0,220.0,0,2.0,2
37,323,2012.0,7,11500.0,299.0,0,2.0,2
29,564,2005.0,7,7200.0,270.0,0,2.0,2
21,762,2013.0,7,18900.0,263.0,0,2.0,2
21,762,2007.0,7,12400.0,400.0,0,2.0,2
29,564,2017.0,7,27897.0,59.0,0,2.0,2
37,592,2011.0,7,23000.0,118.0,0,2.0,1
25,852,2006.0,7,8000.0,232.0,0,2.0,2
